Clave,Entidad y municipio,Entidad,% Mecánica,% Temporal,% Herbicidas químicos,% Insecticidas químicos,% labor agricola,% bosque
03_003,  LA PAZ,BAJA CALIFORNIA SUR,48.28599412,65.99744186,6.17708267,6.116060284,5.922576094,0.027708957
03_008,  LOS CABOS,BAJA CALIFORNIA SUR,47.87701318,5.703155964,0.199591682,0.691136313,9.546749949,0.004707204
03_009,  LORETO,BAJA CALIFORNIA SUR,68.85245902,46.53937402,9.70968317,2.25862928,2.203427512,0
04_001,  CALKINÍ,CAMPECHE,28.82017412,92.9635137,28.27185895,2.749088982,67.60744106,1.896187693
04_002,  CAMPECHE,CAMPECHE,60.3101197,91.41266454,40.95194005,18.65800869,30.12671922,6.848191643
04_003,  CARMEN,CAMPECHE,20.2074392,97.85665424,6.175038454,2.364699792,22.42683089,4.396420872
04_004,  CHAMPOTÓN,CAMPECHE,29.18684254,98.26094789,7.499730667,2.759414769,42.42349664,7.461947382
04_005,  HECELCHAKÁN,CAMPECHE,64,97.26751163,70.70767235,23.49686065,67.35163183,1.249387514
04_006,  HOPELCHÉN,CAMPECHE,62.42182071,98.87530186,41.67914525,19.8581771,55.46516629,7.107733071
04_007,  PALIZADA,CAMPECHE,26.34408602,87.04798687,9.214265837,3.812894949,20.04412072,4.499253645
04_008,  TENABO,CAMPECHE,68.80848409,93.83358366,53.23754915,14.51389494,41.84889702,2.201881656
04_009,  ESCÁRCEGA,CAMPECHE,7.405063291,99.7422588,1.260606512,0.42061513,43.32430746,5.823353605
04_010,  CALAKMUL,CAMPECHE,4.061952075,99.97362053,0.52588071,0.170276711,58.27756754,21.62724432
04_011,  CANDELARIA,CAMPECHE,12.07715963,99.82245029,2.475247857,0.545516018,44.36605234,2.074864502
05_001,  ABASOLO,COAHUILA DE ZARAGOZA,89.21568627,60.39199165,0.036634733,0,15.18287964,0
05_002,  ACUÑA,COAHUILA DE ZARAGOZA,86.26373626,53.46895497,1.868455228,1.826042643,0.756662019,0.030541431
05_003,  ALLENDE,COAHUILA DE ZARAGOZA,77.6119403,36.15290682,0.206407694,0.372865511,29.40173466,0.003847267
05_004,  ARTEAGA,COAHUILA DE ZARAGOZA,67.50104297,78.04964753,3.790999041,3.736254526,32.86471507,8.229742506
05_005,  CANDELA,COAHUILA DE ZARAGOZA,75.55555556,96.47934929,0.555786774,0.361196777,7.682323895,0.005902092
05_006,  CASTAÑOS,COAHUILA DE ZARAGOZA,67.40237691,95.60424014,0.07485915,0.610911775,14.13370177,0.016584119
05_007,  CUATRO CIÉNEGAS,COAHUILA DE ZARAGOZA,41.14906832,53.84236269,3.356651757,6.554780731,10.73898229,0.402742804
05_008,  ESCOBEDO,COAHUILA DE ZARAGOZA,61.15107914,61.39161952,0,0,10.35905566,0.687894132
05_009,  FRANCISCO I. MADERO,COAHUILA DE ZARAGOZA,92.14064116,56.68760738,6.896534448,10.98449599,33.0483793,0
05_010,  FRONTERA,COAHUILA DE ZARAGOZA,65.72164948,62.52362276,0.556520876,0.311108905,21.95546284,0.061399285
05_011,  GENERAL CEPEDA,COAHUILA DE ZARAGOZA,70.89452603,88.0792941,1.393023882,2.991986225,29.06479113,1.381303732
05_012,  GUERRERO,COAHUILA DE ZARAGOZA,74.69135802,58.47318786,0.082604805,0,3.752044506,0.02957355
05_013,  HIDALGO,COAHUILA DE ZARAGOZA,60.49382716,69.64893454,6.768139112,12.4355577,10.95571682,0.001356727
05_014,  JIMÉNEZ,COAHUILA DE ZARAGOZA,88.44086022,40.28371172,1.462367651,0.242898403,16.63904663,0.000777336
05_015,  JUÁREZ,COAHUILA DE ZARAGOZA,85.95041322,73.53844298,0.010225148,0,4.723955623,0
05_016,  LAMADRID,COAHUILA DE ZARAGOZA,30.27522936,75.55197038,2.483866694,1.531008119,18.89394602,0
05_017,  MATAMOROS,COAHUILA DE ZARAGOZA,74.68095967,14.31274348,30.91706475,32.17841469,64.67194369,0.00664971
05_018,  MONCLOVA,COAHUILA DE ZARAGOZA,84.87394958,87.93271876,0.358597764,0.290619077,20.66399082,0.001849959
05_019,  MORELOS,COAHUILA DE ZARAGOZA,62.79069767,12.68612776,4.070833164,4.021211437,5.186427782,0
05_020,  MÚZQUIZ,COAHUILA DE ZARAGOZA,75.27322404,80.38334681,0.609372812,0.252968418,2.632331145,1.934064643
05_021,  NADADORES,COAHUILA DE ZARAGOZA,69.40298507,45.77501625,1.654805117,1.709648275,16.09436928,0
05_022,  NAVA,COAHUILA DE ZARAGOZA,77.64227642,38.80120964,12.15789632,3.544797238,28.9247026,0.503541795
05_023,  OCAMPO,COAHUILA DE ZARAGOZA,20.79207921,91.16680822,0.292156853,0.130660489,2.60322771,0.568003864
05_024,  PARRAS,COAHUILA DE ZARAGOZA,34.83652762,60.93046709,2.296797173,2.295812541,23.05373731,0.000193362
05_025,  PIEDRAS NEGRAS,COAHUILA DE ZARAGOZA,73.75,72.07180643,0.100064709,0,17.52510967,0.725117135
05_026,  PROGRESO,COAHUILA DE ZARAGOZA,83.77823409,76.89401982,0,0,5.895415749,0.001990746
05_027,  RAMOS ARIZPE,COAHUILA DE ZARAGOZA,45.08310249,88.25978799,0.72467566,3.131904554,35.62026367,0.351696703
05_028,  SABINAS,COAHUILA DE ZARAGOZA,73.92156863,75.4114601,0.044107853,0.022495005,9.19131748,0.001104843
05_029,  SACRAMENTO,COAHUILA DE ZARAGOZA,90.72847682,73.10325203,0.652472963,0.652472963,84.64842362,0
05_030,  SALTILLO,COAHUILA DE ZARAGOZA,69.36708861,87.76504794,0.99460195,0.764200039,20.92234726,2.605029877
05_031,  SAN BUENAVENTURA,COAHUILA DE ZARAGOZA,84.53038674,47.17868855,0.484014528,0.142682286,6.223336013,0.605759463
05_032,  SAN JUAN DE SABINAS,COAHUILA DE ZARAGOZA,85.71428571,38.44992109,1.523671164,1.394593728,10.93325005,0.027302503
05_033,  SAN PEDRO,COAHUILA DE ZARAGOZA,46.44412192,6.436353084,27.43696122,31.18777133,19.63942099,0.017867628
05_034,  SIERRA MOJADA,COAHUILA DE ZARAGOZA,41.79104478,99.91761911,0.035589039,0.03094699,5.357222305,1.504150589
05_035,  TORREÓN,COAHUILA DE ZARAGOZA,77.81753131,35.95597895,8.097081266,9.441875924,39.3911925,0
05_036,  VIESCA,COAHUILA DE ZARAGOZA,62.42257398,43.73045604,9.835676806,11.71472601,13.38486568,0.198003901
05_037,  VILLA UNIÓN,COAHUILA DE ZARAGOZA,72.29551451,23.20415976,0.574020694,0.064659802,11.78789342,0
05_038,  ZARAGOZA,COAHUILA DE ZARAGOZA,69.39252336,43.31845203,1.77993857,0.683651876,5.875404378,3.927074187
06_001,  ARMERÍA,COLIMA,61.47157191,33.11161085,27.50749293,16.85571226,52.85763415,0.8020152
06_002,  COLIMA,COLIMA,44.43521595,79.90785256,26.02995628,16.95131911,43.44552651,1.990187877
06_003,  COMALA,COLIMA,18.51851852,86.74685492,19.92895285,6.389265997,52.31728857,9.867810396
06_004,  COQUIMATLÁN,COLIMA,49.95744681,61.46325461,25.61384871,18.98873926,57.20481737,2.127530318
06_005,  CUAUHTÉMOC,COLIMA,49.72592013,94.7067947,32.84258605,20.89273088,50.45944098,1.063902788
06_006,  IXTLAHUACÁN,COLIMA,58.17805383,77.11649186,6.806317378,4.716813083,30.05130416,1.710205555
06_007,  MANZANILLO,COLIMA,49.46466809,85.7583917,14.41267101,15.34559124,47.60179331,5.163165329
06_008,  MINATITLÁN,COLIMA,25.2265861,95.30163244,8.870116483,9.107636977,35.74238481,14.91062515
06_009,  TECOMÁN,COLIMA,62.71656272,15.89106657,42.48378961,31.68896722,72.62196818,0.157586471
06_010,  VILLA DE ÁLVAREZ,COLIMA,33.39222615,86.22407001,26.5186937,13.44928736,44.91499526,2.332450827
07_001,  ACACOYAGUA,CHIAPAS,1.325889742,99.52745947,2.090657693,0.454007328,66.58302187,13.50254729
07_002,  ACALA,CHIAPAS,18.10344828,97.92661401,17.09787741,15.79515467,67.94646627,1.187515775
07_003,  ACAPETAHUA,CHIAPAS,11.53291687,99.92284679,11.98974316,7.780096844,71.61464847,0.374211596
07_004,  ALTAMIRANO,CHIAPAS,1.928978518,99.98006059,0.092849952,0.136490934,60.53344769,24.19179773
07_005,  AMATÁN,CHIAPAS,0,99.93472036,0.376124229,0.011863864,89.64101782,0.226868498
07_006,  AMATENANGO DE LA FRONTERA,CHIAPAS,0.023046785,99.35778354,0.091001359,0,83.58478002,4.488638982
07_007,  AMATENANGO DEL VALLE,CHIAPAS,10.28428094,88.12748739,2.34381173,0.922387228,80.52380094,3.853597336
07_008,  ANGEL ALBINO CORZO,CHIAPAS,0.796812749,99.96752007,0.717820236,0.169547988,47.04580655,4.134662569
07_009,  ARRIAGA,CHIAPAS,45.57077626,99.29743991,24.38249871,8.406153004,40.30448352,13.29442397
07_010,  BEJUCAL DE OCAMPO,CHIAPAS,0,99.99589071,0,0,88.20423236,0.737823205
07_011,  BELLA VISTA,CHIAPAS,0.414781297,99.76456046,0.259672697,0.055580629,70.28360078,2.186753636
07_012,  BERRIOZÁBAL,CHIAPAS,2.695829095,99.90499484,4.59723644,1.827272215,36.94569207,27.23137842
07_013,  BOCHIL,CHIAPAS,0,99.225061,0.047464872,0.02262926,51.14943997,24.44051042
07_014,  EL BOSQUE,CHIAPAS,0,99.95225369,0.796751292,0.053377929,96.76961756,0.101748055
07_015,  CACAHOATÁN,CHIAPAS,0.020916126,98.56704407,0,0,86.3668235,0.68131994
07_016,  CATAZAJÁ,CHIAPAS,3.96432111,99.85836408,1.083600137,0.863060896,25.11942672,2.523061502
07_017,  CINTALAPA,CHIAPAS,20.56174957,97.95769657,14.28230628,5.163761734,24.44285952,16.00317949
07_018,  COAPILLA,CHIAPAS,0.157977883,99.83493326,0.887135292,0,69.31394847,1.969174114
07_019,  COMITÁN DE DOMÍNGUEZ,CHIAPAS,33.54787863,96.50850327,29.75865017,24.19415489,48.12844756,9.084823775
07_020,  LA CONCORDIA,CHIAPAS,31.46246459,93.13721637,17.94699265,14.52450298,36.25305851,9.138855324
07_021,  COPAINALÁ,CHIAPAS,0.074211503,99.84723717,0.17954624,0.018845781,80.31746104,1.565271907
07_022,  CHALCHIHUITÁN,CHIAPAS,0,99.9705728,0,0,94.88157673,0.417715129
07_023,  CHAMULA,CHIAPAS,0.053606984,99.50675435,0.034493868,0.00938722,67.65766164,6.918465464
07_024,  CHANAL,CHIAPAS,0.229885057,99.98472619,0.064537225,0,75.79059599,5.269987838
07_025,  CHAPULTENANGO,CHIAPAS,0,100,0,0,81.13226602,0.882420471
07_026,  CHENALHÓ,CHIAPAS,0.01939488,92.29082089,0,0,75.5564396,0.611785378
07_027,  CHIAPA DE CORZO,CHIAPAS,16.62505202,97.02652083,15.45279478,12.47177665,53.3172403,2.951278615
07_028,  CHIAPILLA,CHIAPAS,7.894736842,91.68798216,9.65130486,6.816270682,90.54997777,0.048135221
07_029,  CHICOASÉN,CHIAPAS,0,99.44066105,0,0,68.90176205,1.457333524
07_030,  CHICOMUSELO,CHIAPAS,10.95551895,99.77254131,9.63426555,7.644484779,45.78564983,2.006945598
07_031,  CHILÓN,CHIAPAS,0.020508614,99.10157879,0.363365556,0,78.38976717,5.707833038
07_032,  ESCUINTLA,CHIAPAS,0.782705926,99.66657631,1.548381802,0.224352294,78.64837534,1.714664522
07_033,  FRANCISCO LEÓN,CHIAPAS,0,100,0,0,29.86926107,0.234363705
07_034,  FRONTERA COMALAPA,CHIAPAS,21.10932844,87.07551458,16.10582437,13.63672234,49.43913214,2.480336272
07_035,  FRONTERA HIDALGO,CHIAPAS,71.45811789,92.32269197,62.32476558,53.7217518,72.53017502,2.363526636
07_036,  LA GRANDEZA,CHIAPAS,0.116686114,98.83777876,0,0,74.74881934,4.384954625
07_037,  HUEHUETÁN,CHIAPAS,8.454281567,87.45919794,6.906838257,4.844405636,68.71088733,0.993068865
07_038,  HUIXTÁN,CHIAPAS,4.778028593,99.96641936,6.828510408,0.369088502,78.26394002,1.762158326
07_039,  HUITIUPÁN,CHIAPAS,0.027352298,99.96866109,0,0.019952438,85.77183538,0.586960893
07_040,  HUIXTLA,CHIAPAS,26.31192661,99.65522493,20.06911991,12.98277725,76.40048589,0.304030766
07_041,  LA INDEPENDENCIA,CHIAPAS,43.16506745,98.90368868,37.06194502,21.84613464,89.29712707,0.794673189
07_042,  IXHUATÁN,CHIAPAS,0.078492936,99.96182514,0,0.05726229,68.53993506,9.931583517
07_043,  IXTACOMITÁN,CHIAPAS,0.136798906,99.43168509,0,0,62.08190767,22.66834544
07_044,  IXTAPA,CHIAPAS,0.055066079,97.40624098,5.852978529,0.300441393,71.42769158,5.222366297
07_045,  IXTAPANGAJOYA,CHIAPAS,0.200803213,97.8963261,3.467166239,0.021642736,66.84124307,0.250584814
07_046,  JIQUIPILAS,CHIAPAS,33.41056534,98.81204109,34.37882561,17.01651194,53.35195964,5.176153162
07_047,  JITOTOL,CHIAPAS,0,99.64014897,0,0,75.43121243,3.853681381
07_048,  JUÁREZ,CHIAPAS,4.845360825,99.98274434,1.110962521,1.174808462,35.52637815,1.448819752
07_049,  LARRÁINZAR,CHIAPAS,0.040950041,99.84233875,2.683595683,0,82.53079866,2.576241557
07_050,  LA LIBERTAD,CHIAPAS,57.26141079,92.54219848,19.41931681,20.42616009,26.15181958,1.896551099
07_051,  MAPASTEPEC,CHIAPAS,7.438330171,99.94222098,2.935718571,0.905475774,48.67698168,8.809401181
07_052,  LAS MARGARITAS,CHIAPAS,11.42770075,97.93245215,12.17320192,8.560801271,78.53208635,6.579573795
07_053,  MAZAPA DE MADERO,CHIAPAS,0,99.82335227,0,0,44.87641954,2.703182066
07_054,  MAZATÁN,CHIAPAS,62.87944493,96.77556668,27.88062548,29.35009006,67.56988362,0.123486255
07_055,  METAPA,CHIAPAS,61.55844156,89.5589819,59.19991595,51.07430853,42.36463293,0.282360757
07_056,  MITONTIC,CHIAPAS,0,99.93758743,0,0,81.05954322,1.107879834
07_057,  MOTOZINTLA,CHIAPAS,0.04568296,99.9018792,0.261802134,0,52.70993559,6.655056983
07_058,  NICOLÁS RUÍZ,CHIAPAS,0.992555831,99.81249883,0.625003906,0.625003906,65.14828833,0
07_059,  OCOSINGO,CHIAPAS,1.185967091,99.95119131,0.062164801,0.02264544,63.66992126,7.06695362
07_060,  OCOTEPEC,CHIAPAS,0,99.91990225,0,0,91.45726847,1.099580475
07_061,  OCOZOCOAUTLA DE ESPINOSA,CHIAPAS,11.3332284,99.74807504,11.64187078,11.96947424,52.43169817,9.467727733
07_062,  OSTUACÁN,CHIAPAS,0.152322925,100,0,0,71.13310763,1.069047375
07_063,  OSUMACINTA,CHIAPAS,0,99.9268389,1.051568818,0.978407722,50.07230223,17.33423852
07_064,  OXCHUC,CHIAPAS,0.016466326,99.60190009,0,0,86.33597199,0.728490395
07_065,  PALENQUE,CHIAPAS,2.921989671,99.8371361,0.856617784,0.704215652,45.49843993,6.45795858
07_066,  PANTELHÓ,CHIAPAS,0.118623962,99.49242878,0,0,90.59051847,1.368482827
07_067,  PANTEPEC,CHIAPAS,0,100,0,0,71.86405581,6.247557172
07_068,  PICHUCALCO,CHIAPAS,0.084104289,99.96376834,0,0,37.39106463,0.38586515
07_069,  PIJIJIAPAN,CHIAPAS,25.42624166,99.89570953,12.42214912,2.467626833,55.56825548,9.148788702
07_070,  EL PORVENIR,CHIAPAS,0,99.52521821,0,0,49.55908814,11.76333453
07_071,  VILLA COMALTITLÁN,CHIAPAS,10.44332044,99.94910774,10.12970245,5.451512481,72.29762351,2.185192555
07_072,  PUEBLO NUEVO SOLISTAHUACÁN,CHIAPAS,0.05425936,99.99930583,0.025198341,0.027975018,89.05878887,1.352318303
07_073,  RAYÓN,CHIAPAS,0,100,0,0,64.8864657,1.869656842
07_074,  REFORMA,CHIAPAS,13.74570447,98.10767642,1.500434841,1.633109746,43.74592487,0.335792195
07_075,  LAS ROSAS,CHIAPAS,9.631432545,83.5594477,8.359236353,4.605233724,63.39942678,11.18669453
07_076,  SABANILLA,CHIAPAS,0.022716947,99.98645465,0,0,95.6157076,0.177932491
07_077,  SALTO DE AGUA,CHIAPAS,0.033244681,99.93893047,0.014037142,0,68.93548257,4.528789217
07_078,  SAN CRISTÓBAL DE LAS CASAS,CHIAPAS,14.53387377,93.09211625,2.38362734,0.51605405,72.98164198,3.294926333
07_079,  SAN FERNANDO,CHIAPAS,1.074718526,99.93526426,1.016980835,0.574751092,50.10504116,5.553594872
07_080,  SILTEPEC,CHIAPAS,0.041841004,99.85637911,0.245850065,0,80.20558422,1.81452448
07_081,  SIMOJOVEL,CHIAPAS,0,99.86567087,0,0,88.492277,0.079373577
07_082,  SITALÁ,CHIAPAS,0,100,0,0,92.9023532,0.567952269
07_083,  SOCOLTENANGO,CHIAPAS,44.45438283,74.90361909,16.88305158,12.89338495,58.39502981,1.605001007
07_084,  SOLOSUCHIAPA,CHIAPAS,0,100,0,0,39.93133202,14.54015885
07_085,  SOYALÓ,CHIAPAS,0.062539087,98.6714264,1.10147726,0.096946001,87.87502475,0.401796159
07_086,  SUCHIAPA,CHIAPAS,13.33922261,99.59716462,18.82700284,17.01124165,55.78311479,2.419632688
07_087,  SUCHIATE,CHIAPAS,68.78415301,53.29900117,50.63580049,37.59140867,67.04404253,0.272703662
07_088,  SUNUAPA,CHIAPAS,0,100,0,0,36.41925359,2.541139757
07_089,  TAPACHULA,CHIAPAS,12.56063056,88.01143711,19.21343609,18.05485004,72.55891825,0.536976663
07_090,  TAPALAPA,CHIAPAS,0.389863548,100,1.132813841,0,72.26514375,1.471584016
07_091,  TAPILULA,CHIAPAS,0,99.94353992,0,0,80.25223907,0.470579566
07_092,  TECPATÁN,CHIAPAS,0.049103855,99.95468344,0,0,69.00605245,1.784454018
07_093,  TENEJAPA,CHIAPAS,0.016627868,99.94030588,0.171534825,0,80.26476655,8.305826093
07_094,  TEOPISCA,CHIAPAS,7.13031261,96.39052225,2.769928421,1.319254704,80.23172071,4.621207119
07_096,  TILA,CHIAPAS,0,99.81927293,0,0,78.07736917,0.874452716
07_097,  TONALÁ,CHIAPAS,23.52371733,99.47353919,14.70350707,3.195081287,49.27419505,5.759965705
07_098,  TOTOLAPA,CHIAPAS,1.972062449,96.23629702,3.746269539,2.18449901,59.23928137,0.158191117
07_099,  LA TRINITARIA,CHIAPAS,57.9960974,95.08720148,38.45037643,33.96928753,53.1796837,6.254339925
07_100,  TUMBALÁ,CHIAPAS,0.02037905,99.99995998,0.01600908,0.00400227,91.66808438,0.626479268
07_101,  TUXTLA GUTIÉRREZ,CHIAPAS,17.77546778,97.89214603,23.21612987,13.19503325,40.15829362,3.781008196
07_102,  TUXTLA CHICO,CHIAPAS,15.51270815,98.85571694,18.87730111,17.47694486,70.9973278,0.243264594
07_103,  TUZANTÁN,CHIAPAS,1.746031746,98.53918793,2.379311653,2.587430893,74.51532725,0.225268979
07_104,  TZIMOL,CHIAPAS,40.76190476,87.77262514,15.6014415,9.824382515,40.38544348,2.745011333
07_105,  UNIÓN JUÁREZ,CHIAPAS,0,99.9032797,0,0,71.1214656,0.060266848
07_106,  VENUSTIANO CARRANZA,CHIAPAS,28.05755396,91.60390042,27.25476913,23.73442558,68.06572952,1.438859634
07_107,  VILLA CORZO,CHIAPAS,22.48062016,99.33433712,16.6210872,15.01674015,37.18470372,8.389991082
07_108,  VILLAFLORES,CHIAPAS,23.90564202,98.36213914,18.44850193,16.56000732,54.65548908,8.404972491
07_109,  YAJALÓN,CHIAPAS,0.08291874,99.99926886,0.056907151,0.056907151,67.75123629,2.396676687
07_110,  SAN LUCAS,CHIAPAS,0.661521499,97.50058186,1.183376865,1.130104218,69.03231781,0.442412933
07_111,  ZINACANTÁN,CHIAPAS,0.060679612,97.61775762,0.246273493,0.246273493,49.70744671,5.387776145
07_112,  SAN JUAN CANCUC,CHIAPAS,0,99.89263016,0,0,89.29196285,0.43311759
07_113,  ALDAMA,CHIAPAS,0,99.95293323,0,0,90.39322181,0.937432109
07_114,  BENEMÉRITO DE LAS AMÉRICAS,CHIAPAS,1.464646465,99.98768708,0.115823539,0.08627253,67.91811931,9.999533423
07_115,  MARAVILLA TENEJAPA,CHIAPAS,0.556242274,98.19261762,0.179022534,0.046156503,75.6035001,8.099599605
07_116,  MARQUÉS DE COMILLAS,CHIAPAS,3.992740472,100,0.434679888,0.078801446,53.15730929,26.13289531
07_117,  MONTECRISTO DE GUERRERO,CHIAPAS,0,99.99827247,0,0,50.8320259,20.7472427
07_118,  SAN ANDRÉS DURAZNAL,CHIAPAS,0,100,0,0,89.97063352,0.213263386
07_119,  SANTIAGO EL PINAR,CHIAPAS,0,99.82847049,0,0,90.38249937,0.927201237
08_001,  AHUMADA,CHIHUAHUA,66.1341853,54.77762464,3.831954019,3.797114502,4.543261709,0.000719606
08_002,  ALDAMA,CHIHUAHUA,67.50629723,29.13026397,13.61294677,16.52796116,3.907959363,0.000611569
08_003,  ALLENDE,CHIHUAHUA,51.70193192,55.78499463,4.674873847,5.005835504,8.413845052,0.022410579
08_004,  AQUILES SERDÁN,CHIHUAHUA,72.22222222,98.38543062,0,0,1.662609483,0
08_005,  ASCENSIÓN,CHIHUAHUA,92.46435845,12.96552113,17.4437967,10.57212276,4.229962381,0.047158374
08_006,  BACHÍNIVA,CHIHUAHUA,90.76086957,79.59447583,19.09003298,10.05234047,27.910361,0.002976538
08_007,  BALLEZA,CHIHUAHUA,6.434717546,92.57221634,3.915884722,1.956758375,15.84971135,32.42338171
08_009,  BOCOYNA,CHIHUAHUA,6.79245283,99.67962951,3.707754479,2.074754894,25.73034704,13.19147775
08_010,  BUENAVENTURA,CHIHUAHUA,86.33677991,11.7777009,4.153360424,3.914230265,7.535084608,0.190271859
08_011,  CAMARGO,CHIHUAHUA,79.38931298,52.91990775,5.695392937,4.836151194,3.291481144,0.000626348
08_012,  CARICHÍ,CHIHUAHUA,26.44206228,98.06026674,17.57014151,0.964840015,14.32316442,31.06281066
08_013,  CASAS GRANDES,CHIHUAHUA,43.18529862,83.1999075,8.092074243,1.572318106,40.72894852,6.030082947
08_014,  CORONADO,CHIHUAHUA,89.68253968,54.19269638,9.875093323,7.489846764,3.482069362,0.008227807
08_015,  COYAME DEL SOTOL,CHIHUAHUA,83.22981366,25.46021133,3.85103527,8.862611418,2.530386356,0.00066392
08_016,  LA CRUZ,CHIHUAHUA,86.89138577,13.08557056,14.07209736,10.79773325,3.190875651,0
08_017,  CUAUHTÉMOC,CHIHUAHUA,90.99709584,57.4839719,47.5191697,31.98239609,29.45252775,1.654212712
08_018,  CUSIHUIRIACHI,CHIHUAHUA,64.3169058,89.39252264,34.30402824,9.444473166,38.21131976,6.054992556
08_019,  CHIHUAHUA,CHIHUAHUA,62.79069767,76.91212422,4.692869256,3.515758091,4.235842285,0.624270082
08_020,  CHÍNIPAS,CHIHUAHUA,0.156862745,99.9588199,0.301605433,0.92028656,41.91531555,9.397167806
08_021,  DELICIAS,CHIHUAHUA,91.5601023,0.592872712,15.0678073,32.04846808,31.85785453,0
08_022,  DR. BELISARIO DOMÍNGUEZ,CHIHUAHUA,51.81564246,88.90287003,9.926746596,0,27.14123839,0
08_023,  GALEANA,CHIHUAHUA,78.26086957,29.23000408,12.03287668,7.683970784,19.43595681,0.137881002
08_024,  SANTA ISABEL,CHIHUAHUA,79.8185941,97.96532275,0.409969222,0,17.53502088,0.655981873
08_025,  GÓMEZ FARÍAS,CHIHUAHUA,89.47368421,90.6575177,2.339524918,1.705010201,26.17987499,9.264628765
08_026,  GRAN MORELOS,CHIHUAHUA,61.40350877,98.99310539,0.523802824,0,39.64765963,0.327198767
08_027,  GUACHOCHI,CHIHUAHUA,4.449357469,99.82020025,0.360577692,0.234804401,20.80031998,54.07736313
08_028,  GUADALUPE,CHIHUAHUA,66.99669967,33.9012818,15.95841118,12.61389211,1.212271779,0.000851556
08_029,  GUADALUPE Y CALVO,CHIHUAHUA,2.569863783,99.46107514,18.16472502,4.166528973,16.14624879,20.49863435
08_030,  GUAZAPARES,CHIHUAHUA,0.197498354,99.86537592,0.524480068,1.718501907,22.277316,17.99827812
08_031,  GUERRERO,CHIHUAHUA,59.52210275,82.93541454,24.92771118,14.82933977,30.64462774,22.11046585
08_032,  HIDALGO DEL PARRAL,CHIHUAHUA,81.65680473,90.33848697,1.352332186,0.155354768,10.14130946,0.004922851
08_033,  HUEJOTITÁN,CHIHUAHUA,59.09090909,97.92394433,23.70798433,0.059447799,29.40687045,2.940422477
08_034,  IGNACIO ZARAGOZA,CHIHUAHUA,61.53238547,96.82728467,0.584395937,0.159598344,24.38973427,0.182223888
08_035,  JANOS,CHIHUAHUA,77.96610169,20.84335629,31.95998576,27.48194497,6.071318637,2.044484124
08_036,  JIMÉNEZ,CHIHUAHUA,82.03342618,57.42154077,7.902415174,10.40326425,4.107686527,0
08_037,  JUÁREZ,CHIHUAHUA,84.23236515,31.6517614,5.372343223,7.270749878,2.674927252,0
08_038,  JULIMES,CHIHUAHUA,91.29129129,22.40839775,14.70553949,21.21806034,1.70155774,0.003069129
08_039,  LÓPEZ,CHIHUAHUA,80.18648019,13.43939135,16.91441705,12.14540981,7.984326799,0.054213416
08_040,  MADERA,CHIHUAHUA,68.6509636,97.78927008,1.11098392,0.960691492,14.58024325,19.92002869
